INSTNM,CONTROL,STABBR,age_entry,married,md_faminc,median_hh_inc,pct_white,md_earn_wne_p10,poverty_rate,unemp_rate,pct_born_us,better_off,LOCALE,MENONLY,WOMENONLY,DISTANCEONLY,UGDS,PCTPELL,UG25abv
Episcopal Divinity School,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,NA,NA,NA
Rob Roy Academy-Fall River,3,MA,25.1700000763,0.1199999973,13870.0,51045.2,89.2200012207,15800,11.3000001907,3.9500000477,82.5599975586,-1930.0,21,0,0,0,105,0.5652,0.4857
Fisher College,2,MA,24.5400009155,0.1299999952,35693.0,64964.31,78.0699996948,28200,9.1000003815,3.5599999428,83.9800033569,7493.0,11,0,0,0,1733,0.5754,0.4865
Fitchburg State University,1,MA,21.2700004578,0.0599999987,70609.5,71253.32,89.7300033569,42100,6.0900001526,2.9500000477,89.6900024414,28509.5,22,0,0,0,4148,0.3416,0.1736
Framingham State University,1,MA,20.7600002289,0.0299999993,72222.5,80769.61,89.7799987793,43200,4.5100002289,2.5599999428,89.0400009155,29022.5,13,0,0,0,4255,0.2829,0.1688
Benjamin Franklin Institute of Technology,2,MA,22.3799991608,0.0399999991,32795.5,63760.7,65.5999984741,39800,10.6999998093,3.5899999142,76.9199981689,-7004.5,11,0,0,0,463,0.6456,0.1992
Gordon College,2,MA,19.3700008392,0.0099999998,88787.0,80002.32,90.5100021362,41600,4.5199999809,2.8099999428,91.2300033569,47187.0,21,0,0,0,1681,0.2213,0.0175
Gordon-Conwell Theological Seminary,2,MA,25.2199993134,0.150000006,8308.5,75574.6,84.3799972534,NA,6.2199997902,4.1799998283,89.9100036621,NA,21,0,0,0,NA,NA,NA
Greenfield Community College,1,MA,26.5900001526,0.1700000018,20616.5,55635.4,92.5699996948,27100,7.5900001526,3.1900000572,93.6200027466,-6483.5,32,0,0,0,1980,0.5113,0.4286
Hallmark Institute of Photography,3,MA,23.1800003052,0.0599999987,51801.0,66192.21,88.7399978638,27000,6.25,3.0199999809,92.1800003052,24801.0,32,0,0,0,69,0.4466,0.2029
Hampshire College,2,MA,19.6000003815,0.0099999998,88959.0,76753.95,81.7699966431,30800,6.4499998093,3.0699999332,87.4199981689,58159.0,21,0,0,0,1468,0.217,0.0328
Harvard University,2,MA,23.6499996185,0.0500000007,33323.5,76879.55,74.0800018311,87200,7.7699999809,3.4600000381,81.3099975586,-53876.5,12,0,0,0,7278,0.1016,0.2342
Hebrew College,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,4,0.2857,1.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,2,MA,22.0900001526,0.1099999994,39114.0,86162.77,85.2600021362,NA,5.0599999428,2.5699999332,86.5599975586,NA,21,0,0,0,92,0.2727,0.1304
Henris School of Hair Design,3,MA,23.1200008392,0.1400000006,38993.0,65369.05,91.1600036621,20200,7.3299999237,3.3499999046,90.6399993896,18793.0,22,0,0,0,30,0.6667,0.3
College of the Holy Cross,2,MA,19.3199996948,0.0,108458.0,82332.58,85.9100036621,63700,5.5799999237,2.7799999714,87.2900009155,44758.0,12,0,0,0,2878,0.1627,0.0014
Holyoke Community College,1,MA,24.7999992371,0.1299999952,24186.0,54818.58,81.3300018311,29100,11.7100000381,3.5,86.1299972534,-4914.0,21,0,0,0,6370,0.5165,0.3387
Sanford-Brown College-Boston,3,MA,24.7900009155,0.1000000015,21617.0,59299.94,60.5299987793,30800,12.8999996185,4.0300002098,75.7300033569,-9183.0,11,0,0,0,71,0.7602,0.5915
Kay Harvey Academy of Hair Design,3,MA,26.5300006866,0.1599999964,15881.0,49003.44,73.0,18600,15.6000003815,3.9200000763,82.9300003052,-2719.0,21,0,0,0,46,0.9512,0.5652
La Baron Hairdressing Academy-Brockton,3,MA,24.2600002289,0.1099999994,21377.0,74208.51,85.2399978638,17600,5.5599999428,3.2200000286,89.6399993896,3777.0,21,0,0,0,44,0.7381,0.4545
La Baron Hairdressing Academy-New Bedford,3,MA,23.0400009155,0.0900000036,10486.0,44291.05,80.4000015259,19600,14.7299995422,4.8400001526,78.9700012207,-9114.0,22,0,0,0,102,0.9804,0.2451
Lasell College,2,MA,19.4799995422,0.0,77869.0,77012.29,88.0599975586,40900,5.4200000763,2.7699999809,88.7799987793,36969.0,13,0,0,0,1667,0.319,0.0261
Lawrence Memorial Hospital School of Nursing,2,MA,32.6699981689,0.3400000036,44814.0,80050.06,86.3399963379,66100,5.4800000191,2.4100000858,85.1399993896,-21286.0,21,0,0,0,302,0.3323,0.7748
Lesley University,2,MA,24.8999996185,0.1400000006,55849.0,73324.38,84.0800018311,36700,6.5500001907,3.0099999905,86.2600021362,19149.0,12,0,0,0,1785,0.2621,0.1833
Lowell Academy Hairstyling Institute,3,MA,23.5599994659,0.1299999952,28744.0,76078.56,83.1600036621,NA,7.2800002098,2.7699999809,83.9100036621,NA,21,0,0,0,102,0.6092,0.4216
University of Massachusetts-Lowell,1,MA,22.0,0.0799999982,61757.0,76546.63,84.8499984741,48900,6.5399999619,2.7799999714,85.7900009155,12857.0,21,0,0,0,11830,0.2989,0.2877
Mansfield Beauty Schools-Springfield,3,MA,24.5699996948,0.0799999982,0.0,39885.44,55.9799995422,NA,23.3700008392,5.2899999619,77.8000030518,NA,12,0,0,0,38,0.6939,0.3947
Mansfield Beauty Schools-Quincy,3,MA,25.6900005341,0.150000006,12384.5,71601.24,83.2099990845,23300,5.9000000954,2.7799999714,86.2699966431,-10915.5,21,0,0,0,60,0.42,0.5667
Marian Court College,2,MA,25.2800006866,0.150000006,32979.0,65787.25,81.5999984741,34600,8.3199996948,3.3099999428,82.5,-1621.0,21,0,0,0,173,0.454,0.2105
University of Massachusetts-Amherst,1,MA,20.5900001526,0.0299999993,75270.5,78424.73,87.5199966431,49600,5.5999999046,2.7999999523,88.3499984741,25670.5,21,0,0,0,21672,0.2513,0.0811
University of Massachusetts-Boston,1,MA,24.0699996948,0.1099999994,33287.0,68463.25,72.6500015259,45800,9.0100002289,3.3099999428,79.2799987793,-12513.0,11,0,0,0,11786,0.3831,0.3335
Massachusetts Bay Community College,1,MA,25.7199993134,0.1599999964,32033.0,81183.3,79.4000015259,37300,6.5300002098,2.7899999619,81.4300003052,-5267.0,21,0,0,0,4573,0.3027,0.395
MCPHS University,2,MA,22.25,0.0900000036,61624.0,72630.13,82.4100036621,116400,6.9400000572,3.0399999619,84.5400009155,-54776.0,11,0,0,0,3808,0.3009,0.1101
Massachusetts College of Art and Design,1,MA,21.4799995422,0.0299999993,60374.0,75629.56,85.8499984741,34000,6.4299998283,2.8800001144,86.75,26374.0,11,0,0,0,1861,0.2565,0.1807
Massachusetts Institute of Technology,2,MA,21.0100002289,0.0399999991,79076.0,77426.3,76.3600006104,91600,7.3499999046,3.2200000286,82.1600036621,-12524.0,12,0,0,0,4510,0.1825,0.0068
Massachusetts Maritime Academy,1,MA,19.8299999237,0.0099999998,86279.0,77684.66,91.5299987793,79500,4.4600000381,2.6300001144,91.9300003052,6779.0,22,0,0,0,1362,0.186,0.0363
University of Massachusetts Medical School Worcester,1,MA,24.7800006866,0.0099999998,13148.0,79791.73,84.7699966431,184900,5.9600000381,2.8399999142,85.9300003052,-171752.0,12,0,0,0,NA,NA,NA
Massachusetts School of Professional Psychology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,NA,NA,NA
Massachusetts School of Barbering,3,MA,29.7999992371,0.1199999973,1361.0,60851.49,59.9599990845,NA,11.75,4.1900000572,79.1500015259,NA,21,0,0,0,91,0.5733,0.7143
Massasoit Community College,1,MA,24.6599998474,0.1199999973,29638.5,70681.61,79.7799987793,30600,6.6900000572,3.1900000572,86.7699966431,-961.5,21,0,0,0,7034,0.4069,0.3783
Merrimack College,2,MA,19.6800003052,0.0099999998,108518.0,83052.53,90.8099975586,55400,4.5100002289,2.4100000858,89.5899963379,53118.0,21,0,0,0,2722,0.223,0.0584
MGH Institute of Health Professions,2,MA,26.4699993134,0.2199999988,51647.0,75726.05,84.9800033569,NA,6.0999999046,2.8900001049,82.0699996948,NA,11,0,0,0,160,0.0,0.7407
Middlesex Community College,1,MA,23.6900005341,0.1099999994,29731.0,74158.56,80.6299972534,33400,8.0200004578,3.0099999905,81.6399993896,-3669.0,21,0,0,0,8871,0.3452,0.2688
Montserrat College of Art,2,MA,20.1599998474,0.0099999998,75050.0,76309.95,92.6800003052,25100,4.5799999237,2.9200000763,92.1900024414,49950.0,21,0,0,0,378,0.3788,0.0281
Mount Holyoke College,2,MA,20.3500003815,0.0299999993,73414.5,79267.64,81.1200027466,44100,6.0500001907,2.9900000095,86.7300033569,29314.5,21,0,1,0,2154,0.203,0.0385
Mount Ida College,2,MA,20.5200004578,0.0299999993,61177.0,73378.33,83.9400024414,34700,6.4200000763,2.9600000381,87.0,26477.0,13,0,0,0,1261,0.3925,0.1057
Mount Wachusett Community College,1,MA,26.2000007629,0.200000003,30193.0,62510.84,91.0199966431,29500,7.0500001907,3.3199999332,90.8000030518,693.0,41,0,0,0,4222,0.4883,0.4307
Cortiva Institute-Boston,3,MA,32.4399986267,0.2399999946,42140.0,75562.81,81.4599990845,32100,7.0300002098,2.7799999714,82.3399963379,10040.0,21,0,0,0,210,0.2184,0.7
School of the Museum of Fine Arts-Boston,2,MA,22.2199993134,0.0399999991,52613.0,77337.71,83.3399963379,31600,6.2399997711,3.0599999428,86.3399963379,21013.0,11,0,0,0,340,0.2731,0.1198
Everest Institute-Brighton,3,MA,26.1599998474,0.150000006,15762.0,66122.47,62.5200004578,27500,10.4899997711,3.9400000572,76.7300033569,-11738.0,11,0,0,0,369,0.7788,0.4173
Rob Roy Academy-New Bedford,3,MA,24.3700008392,0.150000006,15757.0,46447.41,82.9300003052,NA,14.6800003052,4.75,79.6999969482,NA,22,0,0,0,27,0.5882,0.4444
The New England Conservatory of Music,2,MA,22.2800006866,0.0199999996,33084.0,79026.66,79.5400009155,29500,6.8400001526,3.1099998951,85.9899978638,3584.0,11,0,0,0,410,0.156,0.0255
New England College of Optometry,2,MA,25.0599994659,0.0399999991,5383.0,71736.79,78.0199966431,88500,7.0900001526,3.1600000858,81.6999969482,-83117.0,11,0,0,0,NA,NA,NA
New England School of Acupuncture,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,NA,NA,NA
New England School of Law,2,MA,26.0300006866,0.0399999991,5673.0,75755.51,84.8199996948,64200,6.3099999428,3.1199998856,85.4000015259,-58527.0,11,0,0,0,NA,NA,NA
New England School of Photography,3,MA,24.5799999237,0.0599999987,37876.0,67254.67,80.5199966431,29300,8.1099996567,3.0999999046,82.5999984741,8576.0,11,0,0,0,66,0.0864,0.3333
Newbury College,2,MA,21.2399997711,0.0399999991,48358.5,70920.55,75.3000030518,38300,8.3599996567,3.3099999428,82.3099975586,10058.5,21,0,0,0,961,0.5043,0.1029
Nichols College,2,MA,20.1399993896,0.0199999996,81300.5,74980.59,89.6200027466,47100,5.3899998665,2.7999999523,90.2600021362,34200.5,21,0,0,0,1260,0.3502,0.1374
Massachusetts College of Liberal Arts,1,MA,21.8700008392,0.0500000007,56421.5,64342.86,90.8700027466,36400,6.7300000191,3.2400000095,92.5500030518,20021.5,31,0,0,0,1483,0.4513,0.1443
North Bennet Street School,2,MA,31.0699996948,0.2399999946,54945.5,76195.27,83.7900009155,30000,6.4499998093,2.9700000286,85.8899993896,24945.5,11,0,0,0,161,0.2443,0.646
North Shore Community College,1,MA,26.4799995422,0.1599999964,20302.0,64957.18,81.7699966431,29200,8.6000003815,3.3099999428,82.6699981689,-8898.0,21,0,0,0,7053,0.4353,0.4075
The New England Institute of Art,3,MA,21.5900001526,0.0199999996,53956.0,70064.29,81.8099975586,34900,7.4600000381,3.1099998951,85.6299972534,19056.0,21,0,0,0,779,0.4933,0.2054
Northeastern University,2,MA,20.9300003052,0.0299999993,83394.0,80190.89,84.3199996948,60100,5.6900000572,2.8599998951,86.5299987793,23294.0,11,0,0,0,13204,0.1424,0.0152
Northern Essex Community College,1,MA,26.25,0.1800000072,22081.0,64439.94,77.8600006104,29300,10.3400001526,3.1199998856,79.8199996948,-7219.0,21,0,0,0,6746,0.5104,0.3671
College of Our Lady of the Elms,2,MA,23.6900005341,0.1099999994,71106.5,59687.78,84.8899993896,43700,9.1800003052,3.2899999619,88.2399978638,27406.5,21,0,0,0,1308,0.3967,0.3408
Pine Manor College,2,MA,19.6599998474,0.0099999998,34277.0,58088.78,55.7200012207,34700,13.5500001907,4.4400000572,76.3799972534,-423.0,21,0,0,0,221,0.6562,0.0447
Blessed John XXIII National Seminary,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,0,0,NA,NA,NA
Quincy College,1,MA,27.3700008392,0.2099999934,28143.5,67749.75,72.1699981689,38400,8.3299999237,3.2200000286,81.75,-10256.5,21,0,0,0,4025,0.3613,0.4779
Quinsigamond Community College,1,MA,24.6299991608,0.150000006,28151.0,60390.02,84.4199981689,32300,10.5600004196,3.2400000095,85.4000015259,-4149.0,12,0,0,0,7647,0.4464,0.3893
Regis College,2,MA,21.7099990845,0.1000000015,55309.0,71565.88,72.8300018311,43300,8.6199998856,3.3199999332,81.4499969482,12009.0,21,0,0,0,1188,0.3577,0.186
Roxbury Community College,1,MA,27.7600002289,0.1700000018,12986.0,54227.92,41.5499992371,32800,16.0699996948,4.7300000191,71.8499984741,-19814.0,11,0,0,0,2216,0.5308,0.5691
Saint John's Seminary,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0,0,35,0.0,0.6047
Salem State University,1,MA,21.75,0.0500000007,51386.0,71187.0,84.0,40400,7.0,2.9300000668,84.9599990845,10986.0,21,0,0,0,7134,0.3339,0.265
Salter College-West Boylston,3,MA,28.5599994659,0.2300000042,19421.0,58964.19,80.8899993896,28200,10.7299995422,3.5399999619,82.1699981689,-8779.0,21,0,0,0,697,0.7506,0.5279
Simmons College,2,MA,21.3099994659,0.0399999991,67781.0,77652.59,84.9400024414,51400,6.0599999428,2.8099999428,86.9400024414,16381.0,11,0,1,0,1710,0.2573,0.1293
Bard College at Simon's Rock,2,MA,17.6900005341,0.0,67809.5,75504.46,80.5800018311,38200,7.1599998474,3.3699998856,86.3899993896,29609.5,41,0,0,0,344,0.305,0.0086
Smith College,2,MA,20.7900009155,0.0299999993,68708.5,74581.14,79.8000030518,42700,7.0999999046,3.3199999332,85.6800003052,26008.5,21,0,1,0,2606,0.2264,0.038
Southeastern Technical Institute,1,MA,30.6000003815,0.3199999928,28020.5,70978.35,78.3099975586,39400,7.2100000381,3.6800000668,86.4899978638,-11379.5,21,0,0,0,112,0.4532,0.5625
Springfield College,2,MA,28.6399993896,0.1700000018,50430.0,64281.13,73.0800018311,45100,9.7299995422,3.7999999523,86.6500015259,5330.0,12,0,0,0,2157,0.2192,0.0202
Springfield Technical Community College,1,MA,26.5200004578,0.1899999976,18052.5,50724.42,71.7200012207,30200,14.7600002289,4.0700001717,83.9800033569,-12147.5,12,0,0,0,6281,0.5541,0.4282
University of Massachusetts-Dartmouth,1,MA,20.6900005341,0.0299999993,69531.5,72067.31,89.0199966431,44800,6.2100000381,3.1300001144,88.3700027466,24731.5,22,0,0,0,7202,0.3799,0.144
Stonehill College,2,MA,19.4899997711,0.0,116545.0,81416.9,89.3700027466,58800,4.9000000954,2.6600000858,89.6100006104,57745.0,21,0,0,0,2473,0.1441,0.0077
Suffolk University,2,MA,20.5100002289,0.0199999996,64594.0,76214.79,85.1600036621,49900,6.0799999237,2.8099999428,86.0699996948,14694.0,11,0,0,0,5535,0.292,0.0668
Rob Roy Academy-Taunton,3,MA,24.2700004578,0.150000006,27002.5,71879.55,92.7399978638,NA,4.9800000191,3.25,91.0999984741,NA,21,0,0,0,37,0.4234,0.3784
Tufts University,2,MA,21.4200000763,0.0199999996,64738.0,82793.69,80.8000030518,67800,6.1199998856,3.0599999428,84.5,-3062.0,21,0,0,0,5146,0.1132,0.0102
Wellesley College,2,MA,19.8799991608,0.0099999998,74657.0,81018.79,77.4599990845,56700,6.4400000572,3.0699999332,83.0299987793,17957.0,21,0,1,0,2347,0.1922,0.019
Wentworth Institute of Technology,2,MA,20.3400001526,0.0199999996,81863.0,76699.8,87.9499969482,54600,5.4200000763,2.7999999523,88.9000015259,27263.0,11,0,0,0,3975,0.2822,0.1112
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wentworth Institute of Technology,2,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western New England University,2,MA,19.9400005341,0.0299999993,87684.0,76363.81,89.8000030518,55100,5.1500000954,2.9000000954,90.7399978638,32584.0,12,0,0,0,2648,0.2502,0.0521
Westfield State University,1,MA,20.4300003052,0.0299999993,78180.0,72419.11,89.7900009155,43300,6.1900000572,2.8199999332,90.4000015259,34880.0,21,0,0,0,5524,0.2609,0.1323
Wheaton College,2,MA,19.4899997711,0.0,92594.0,79554.03,86.8099975586,46400,5.8499999046,2.9100000858,88.7200012207,46194.0,21,0,0,0,1640,0.2172,0.0042
Wheelock College,2,MA,21.3500003815,0.0500000007,65102.0,76696.63,83.6200027466,36400,6.2100000381,2.8599998951,87.8199996948,28702.0,11,0,0,0,839,0.3466,0.0568
Williams College,2,MA,19.3299999237,0.0,88403.5,77966.2,76.0500030518,58100,7.6300001144,3.4600000381,83.4000015259,30303.5,31,0,0,0,2051,0.1903,0.0052
Worcester Polytechnic Institute,2,MA,19.4799995422,0.0,93479.0,76076.15,88.8600006104,77600,5.4299998283,2.7699999809,90.1299972534,15879.0,12,0,0,0,4012,0.1508,0.014
Worcester State University,1,MA,21.5900001526,0.0700000003,62776.5,68531.82,88.5699996948,43700,7.1599998474,2.8099999428,88.8499984741,19076.5,12,0,0,0,5033,0.271,0.221
Adrian College,2,MI,19.6299991608,0.0099999998,71008.5,66915.1,88.6100006104,36500,5.7100000381,3.2200000286,95.6900024414,34508.5,32,0,0,0,1616,0.4368,0.023
Albion College,2,MI,19.2099990845,0.0,85027.5,71425.7,88.0899963379,45100,5.5100002289,3.1099998951,94.5,39927.5,31,0,0,0,1284,0.2366,0.013
Hillsdale Beauty College,3,MI,26.7999992371,0.25,27983.5,56463.51,96.9700012207,NA,5.0199999809,3.1700000763,98.3899993896,NA,32,0,0,0,35,0.4096,0.2
Northwestern Technological Institute,3,MI,30.4899997711,0.2199999988,15877.0,57620.36,48.1699981689,28500,12.8599996567,5.2100000381,93.0899963379,-12623.0,13,0,0,0,406,0.98740000000000006,0.6478
Alma College,2,MI,19.5100002289,0.0099999998,74312.0,61676.21,91.5999984741,44700,6.1199998856,3.4800000191,96.2799987793,29612.0,32,0,0,0,1385,0.306,0.0113
Alpena Community College,1,MI,24.7900009155,0.1700000018,22274.0,46499.49,96.7699966431,27700,7.9499998093,4.5599999428,98.0999984741,-5426.0,41,0,0,0,1418,0.5222,0.2956
Andrews University,2,MI,21.6700000763,0.1099999994,53737.0,63096.48,75.6500015259,36000,7.9299998283,3.3800001144,86.2099990845,17737.0,31,0,0,0,1765,0.3155,0.116
Aquinas College,2,MI,21.7199993134,0.0700000003,72085.0,64829.33,86.7900009155,38100,6.2899999619,3.1400001049,94.3799972534,33985.0,12,0,0,0,1843,0.3356,0.1106
Baker College of Owosso,2,MI,27.6900005341,0.2399999946,26420.0,59405.88,79.9199981689,26500,8.779999733,4.0399999619,95.5100021362,-80.0,32,0,0,0,2726,0.6624,0.4018
Baker College of Flint,2,MI,27.6900005341,0.2399999946,26420.0,59405.88,79.9199981689,26500,8.779999733,4.0399999619,95.5100021362,-80.0,21,0,0,0,4886,0.7172,0.5222
Bay de Noc Community College,1,MI,24.9799995422,0.1700000018,21282.0,47260.35,95.1999969482,27800,7.4899997711,4.4299998283,98.5899963379,-6518.0,33,0,0,0,2024,0.507,0.3544
Bayshire Academy of Beauty Craft Inc,3,MI,27.0699996948,0.2199999988,12610.0,49669.06,86.0699996948,NA,10.029999733,4.3899998665,98.2099990845,NA,13,0,0,0,41,0.8852,0.561
Cadillac Institute of Cosmetology,3,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0,0,0,39,0.6111,0.359
Calvin College,2,MI,19.6599998474,0.0199999996,93258.0,70660.49,85.1800003052,40900,5.4699997902,2.9300000668,92.4300003052,52358.0,12,0,0,0,3895,0.2326,0.0192
Calvin Theological Seminary,2,MI,27.2099990845,0.4199999869,17287.0,62234.32,77.0599975586,NA,8.9300003052,3.5,90.7900009155,NA,12,0,0,0,NA,NA,NA
Carnegie Institute,3,MI,32.8100013733,0.3000000119,24651.5,69971.87,78.2300033569,29800,6.9099998474,3.4600000381,90.75,-5148.5,13,0,0,0,241,0.5376,0.7137
Michigan School of Professional Psychology,2,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,NA,NA,NA
Central Michigan University,1,MI,21.0,0.0500000007,70233.5,66048.2,87.9899978638,40000,6.1399998665,3.4100000858,95.3399963379,30233.5,32,0,0,0,20070,0.349,0.1325
Mott Community College,1,MI,26.3099994659,0.1800000072,18061.5,55618.75,71.3199996948,24900,11.9799995422,5.0599999428,97.6399993896,-6838.5,12,0,0,0,8349,0.5306,0.4478
Empire Beauty School-Michigan,3,MI,23.6900005341,0.1199999973,35762.5,63712.8,88.5800018311,16400,6.0,3.2200000286,95.1299972534,19362.5,21,0,0,0,365,0.7072,0.3753
Cleary University,2,MI,31.0,0.4099999964,55340.0,81153.11,87.3099975586,50500,4.3200001717,2.75,94.5100021362,4840.0,12,0,0,0,450,0.4984,0.6958
Cleary University,2,MI,31.0,0.4099999964,55340.0,81153.11,87.3099975586,50500,4.3200001717,2.75,94.5100021362,4840.0,NA,NA,NA,NA,NA,NA,NA
Cleary University,2,MI,31.0,0.4099999964,55340.0,81153.11,87.3099975586,50500,4.3200001717,2.75,94.5100021362,4840.0,12,0,0,0,450,0.4984,0.6958
Cleary University,2,MI,31.0,0.4099999964,55340.0,81153.11,87.3099975586,50500,4.3200001717,2.75,94.5100021362,4840.0,NA,NA,NA,NA,NA,NA,NA
Concordia University-Ann Arbor,2,MI,22.8099994659,0.0900000036,66241.0,70459.21,85.5,39000,5.5,2.9600000381,93.7900009155,27241.0,12,0,0,0,529,0.4269,0.0531
Cranbrook Academy of Art,2,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,NA,NA,NA
College for Creative Studies,2,MI,21.3500003815,0.0199999996,65746.0,74293.04,81.1699981689,40600,6.5500001907,3.2599999905,90.25,25146.0,11,0,0,0,1352,0.3702,0.1431
Davenport University,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,21,0,0,0,7119,0.5275,0.6101
Davenport University-Warren Location,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,NA,NA,NA,NA,NA,NA,NA
Davenport University-Kalamazoo Location,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,NA,NA,NA,NA,NA,NA,NA
Davenport University-Lansing Location,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,NA,NA,NA,NA,NA,NA,NA
Davenport University-Midland Location,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,NA,NA,NA,NA,NA,NA,NA
Davenport University-Holland Location,2,MI,29.5599994659,0.2899999917,26029.0,56679.53,72.5100021362,29900,10.0200004578,4.3899998665,94.7300033569,-3871.0,NA,NA,NA,NA,NA,NA,NA
Davenport University-Flint Location,2,MI,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davenport University-Traverse City Location,2,MI,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davenport University-Saginaw Location,2,MI,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davenport University-Livonia Location,2,MI,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davenport University-Battle Creek Location,2,MI,NA,NA,NA,NA,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davenport University-Grand Rapids Downtown,2,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Pressley School of Cosmetology,3,MI,24.4599990845,0.1400000006,44312.0,76603.21,87.9000015259,16500,4.6500000954,2.7200000286,91.1500015259,27812.0,21,0,0,0,225,0.4364,0.4044
Delta College,1,MI,24.8299999237,0.1800000072,24421.0,53102.26,83.9400024414,28100,9.7399997711,4.3800001144,97.6999969482,-3679.0,41,0,0,0,8664,0.4608,0.3518
Detroit Business Institute-Downriver,3,MI,27.6499996185,0.150000006,10906.5,50389.73,35.5600013733,19900,16.1299991608,6.1300001144,94.8799972534,-8993.5,21,0,0,0,76,0.7273,0.6711
Michigan State University-College of Law,2,MI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,NA,NA,NA
MIAT College of Technology,3,MI,25.8299999237,0.1800000072,32300.0,68533.62,79.9300003052,41600,6.8699998856,3.4400000572,93.9300003052,-9300.0,21,0,0,0,469,0.7273,0.3715
University of Detroit Mercy,2,MI,24.9599990845,0.1299999952,44772.0,64142.33,63.3899993896,42200,10.1599998474,4.3699998856,92.2200012207,2572.0,11,0,0,0,2871,0.2873,0.2389
Dorsey Business Schools-Madison Heights,3,MI,30.1800003052,0.25,14858.0,60108.1,67.0299987793,22800,10.2299995422,4.5700001717,93.5599975586,-7942.0,21,0,0,0,203,0.7479,0.5764
Dorsey Business Schools-Southgate,3,MI,30.1800003052,0.25,14858.0,60108.1,67.0299987793,22800,10.2299995422,4.5700001717,93.5599975586,-7942.0,21,0,0,0,145,0.6909,0.5724
Eastern Michigan University,1,MI,22.5100002289,0.0900000036,52069.0,69989.0,76.5999984741,37300,6.9000000954,3.3599998951,93.2300033569,14769.0,21,0,0,0,18543,0.447,0.2681
Ferris State University,1,MI,21.8700008392,0.0799999982,59172.0,61040.62,89.0999984741,40300,6.8200001717,3.8299999237,95.9499969482,18872.0,33,0,0,0,12646,0.4123,0.2387
Flint Institute of Barbering Inc,3,MI,28.4200000763,0.1199999973,10627.0,51277.74,58.3800010681,NA,15.7399997711,5.9200000763,96.6699981689,NA,12,0,0,0,56,0.8242,0.6071
